A6,J1,J2,J20,label,A3Ar_w_2,A3Ar_w_3,A3Ar_w_4,A3Ar_w_5,A3Ar_w_6,A50A_2,A4A_new_w_2,A9_2,A9_3,A9_4,A9_5,A9_6,A9_7,A9_8
1,3,2,4,saver,False,False,True,False,False,True,True,False,True,False,False,False,False,False
2,10,1,4,spender,False,False,False,True,False,True,True,False,False,False,False,True,False,False
1,8,9,1,spender,False,True,False,False,False,False,True,True,False,False,False,False,False,False
4,4,1,1,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
2,6,10,4,saver,False,False,False,True,False,False,True,True,False,False,False,False,False,False
1,8,4,1,debtor,False,False,True,False,False,False,True,True,False,False,False,False,False,False
2,4,4,4,debtor,False,False,False,True,False,True,True,False,False,False,False,True,False,False
3,7,5,1,spender,False,False,False,False,True,True,True,True,False,False,False,False,False,False
2,4,6,2,spender,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2,5,7,1,debtor,True,False,False,False,False,False,True,True,False,False,False,False,False,False
2,7,5,1,spender,False,False,False,False,True,True,True,False,True,False,False,False,False,False
1,9,8,1,debtor,False,True,False,False,False,False,True,True,False,False,False,False,False,False
2,10,1,4,spender,False,False,False,True,False,True,True,False,False,False,False,True,False,False
2,9,1,1,debtor,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1,10,9,1,debtor,False,False,False,False,True,False,True,False,True,False,False,False,False,False
2,1,1,4,spender,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2,1,1,4,spender,False,True,False,False,False,False,False,False,False,False,True,False,False,False
5,5,4,2,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,9,8,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,7,98,1,debtor,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2,8,8,3,saver,True,False,False,False,False,True,True,True,False,False,False,False,False,False
1,1,5,4,saver,False,False,False,False,True,True,False,False,True,False,False,False,False,False
1,7,5,1,debtor,False,True,False,False,False,True,True,False,True,False,False,False,False,False
1,7,2,1,saver,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,1,7,4,spender,True,False,False,False,False,True,False,False,False,True,False,False,False,False
1,1,1,4,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,3,5,4,spender,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2,1,1,4,spender,False,True,False,False,False,True,False,False,False,False,False,True,False,False
4,9,8,4,spender,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2,1,1,4,spender,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,10,10,1,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2,10,10,2,spender,True,False,False,False,False,True,False,True,False,False,False,False,False,False
2,3,4,3,spender,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1,5,2,2,saver,False,True,False,False,False,True,False,True,False,False,False,False,False,False
5,1,8,1,debtor,False,False,True,False,False,True,False,False,False,False,False,True,False,False
1,3,4,2,saver,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2,8,5,1,debtor,False,True,False,False,False,False,False,True,False,False,False,False,False,False
4,9,6,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,8,9,2,saver,True,False,False,False,False,True,True,False,False,True,False,False,False,False
2,10,6,1,debtor,False,True,False,False,False,True,True,True,False,False,False,False,False,False
4,4,5,3,saver,False,True,False,False,False,True,True,False,True,False,False,False,False,False
1,7,5,1,debtor,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2,3,3,4,spender,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,8,7,1,debtor,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,5,1,1,saver,True,False,False,False,False,True,True,True,False,False,False,False,False,False
1,9,9,1,saver,False,True,False,False,False,True,False,True,False,False,False,False,False,False
2,3,4,98,saver,True,False,False,False,False,False,True,False,True,False,False,False,False,False
1,8,7,1,debtor,True,False,False,False,False,True,True,True,False,False,False,False,False,False
2,6,6,3,spender,True,False,False,False,False,True,True,True,False,False,False,False,False,False
2,6,3,2,spender,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,7,5,2,debtor,False,True,False,False,False,True,True,True,False,False,False,False,False,False
4,1,4,3,spender,False,True,False,False,False,True,True,True,False,False,False,False,False,False
1,7,7,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2,7,7,1,debtor,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1,8,4,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2,8,5,1,debtor,False,False,False,True,False,True,False,False,True,False,False,False,False,False
1,4,7,1,spender,False,True,False,False,False,True,False,False,False,True,False,False,False,False
4,6,4,1,debtor,True,False,False,False,False,False,False,True,False,False,False,False,False,False
